Week,Agent_ID,Strategy,Risk_Tolerance,Memory_Length,Decision,Actual_Attendance
4,2,Optimist,71,3,Stay,68
4,3,Pessimist,72,3,Go,68
4,4,Pessimist,63,3,Stay,68
4,5,Average,62,2,Go,68
4,6,Average,61,2,Go,68
4,7,Optimist,66,3,Go,68
4,8,Average,60,2,Go,68
4,9,Pessimist,66,3,Stay,68
4,10,Optimist,68,3,Stay,68
4,11,Pessimist,73,3,Go,68
4,12,Pessimist,65,3,Stay,68
4,13,Pessimist,64,3,Stay,68
4,14,Average,74,2,Go,68
4,15,Pessimist,69,3,Go,68
4,16,Optimist,67,3,Go,68
4,17,Average,63,2,Go,68
4,18,Optimist,63,3,Go,68
4,19,Average,68,2,Go,68
4,20,Pessimist,63,3,Stay,68
4,21,Pessimist,68,3,Go,68
4,22,Average,64,2,Go,68
4,23,Average,73,2,Go,68
4,24,Pessimist,75,3,Go,68
4,25,Pessimist,67,3,Stay,68
4,26,Optimist,75,3,Stay,68
4,27,Optimist,67,3,Go,68
4,28,Pessimist,61,3,Stay,68
4,29,Average,74,2,Go,68
4,30,Pessimist,63,3,Stay,68
4,31,Pessimist,66,3,Stay,68
4,32,Average,64,2,Go,68
4,33,Average,73,2,Go,68
4,34,Average,69,2,Go,68
4,35,Average,61,2,Go,68
4,36,Average,71,2,Go,68
4,37,Optimist,70,3,Stay,68
4,38,Optimist,65,3,Go,68
4,39,Optimist,72,3,Stay,68
4,40,Average,60,2,Go,68
4,41,Pessimist,67,3,Stay,68
4,42,Optimist,67,3,Go,68
4,43,Average,62,2,Go,68
4,44,Pessimist,74,3,Go,68
4,45,Pessimist,72,3,Go,68
4,46,Optimist,68,3,Stay,68
4,47,Pessimist,66,3,Stay,68
4,48,Average,75,2,Go,68
4,49,Average,73,2,Go,68
4,50,Average,73,2,Go,68
4,51,Pessimist,73,3,Go,68
4,52,Average,72,2,Go,68
4,53,Average,61,2,Go,68
4,54,Pessimist,63,3,Stay,68
4,55,Optimist,70,3,Stay,68
4,56,Optimist,60,3,Go,68
4,57,Optimist,66,3,Go,68
4,58,Average,61,2,Go,68
4,59,Average,60,2,Go,68
4,60,Average,70,2,Go,68
4,61,Average,72,2,Go,68
4,62,Pessimist,68,3,Go,68
4,63,Optimist,61,3,Go,68
4,64,Average,66,2,Go,68
4,65,Pessimist,71,3,Go,68
4,66,Pessimist,62,3,Stay,68
4,67,Optimist,60,3,Go,68
4,68,Optimist,61,3,Go,68
4,69,Average,66,2,Go,68
4,70,Optimist,71,3,Stay,68
4,71,Average,72,2,Go,68
4,72,Optimist,69,3,Stay,68
4,73,Optimist,74,3,Stay,68
4,74,Average,72,2,Go,68
4,75,Average,70,2,Go,68
4,76,Optimist,62,3,Go,68
4,77,Optimist,63,3,Go,68
4,78,Pessimist,74,3,Go,68
4,79,Average,73,2,Go,68
4,80,Pessimist,60,3,Stay,68
4,81,Average,62,2,Go,68
4,82,Optimist,68,3,Stay,68
4,83,Optimist,60,3,Go,68
4,84,Average,60,2,Go,68
4,85,Average,66,2,Go,68
4,86,Average,71,2,Go,68
4,87,Optimist,75,3,Stay,68
4,88,Optimist,68,3,Stay,68
4,89,Optimist,68,3,Stay,68
4,90,Pessimist,67,3,Stay,68
4,91,Pessimist,72,3,Go,68
4,92,Average,72,2,Go,68
4,93,Pessimist,63,3,Stay,68
4,94,Pessimist,63,3,Stay,68
4,95,Average,69,2,Go,68
4,96,Pessimist,71,3,Go,68
4,97,Average,65,2,Go,68
4,98,Average,64,2,Go,68
4,99,Pessimist,62,3,Stay,68
5,0,Average,61,2,Go,69
5,1,Average,66,2,Go,69
5,2,Optimist,71,3,Stay,69
5,3,Pessimist,72,3,Go,69
5,4,Pessimist,63,3,Stay,69
5,5,Average,62,2,Go,69
5,6,Average,61,2,Go,69
5,7,Optimist,66,3,Stay,69
5,8,Average,60,2,Go,69
5,9,Pessimist,66,3,Go,69
5,10,Optimist,68,3,Stay,69
5,11,Pessimist,73,3,Go,69
5,12,Pessimist,65,3,Go,69
5,13,Pessimist,64,3,Stay,69
5,14,Average,74,2,Go,69
5,15,Pessimist,69,3,Go,69
5,16,Optimist,67,3,Stay,69
5,17,Average,63,2,Go,69
5,18,Optimist,63,3,Go,69
5,19,Average,68,2,Go,69
5,20,Pessimist,63,3,Stay,69
5,21,Pessimist,68,3,Go,69
5,22,Average,64,2,Go,69
5,23,Average,73,2,Go,69
5,24,Pessimist,75,3,Go,69
5,25,Pessimist,67,3,Go,69
5,26,Optimist,75,3,Stay,69
5,27,Optimist,67,3,Stay,69
5,28,Pessimist,61,3,Stay,69
5,29,Average,74,2,Go,69
5,30,Pessimist,63,3,Stay,69
5,31,Pessimist,66,3,Go,69
5,32,Average,64,2,Go,69
5,33,Average,73,2,Go,69
5,34,Average,69,2,Go,69
5,35,Average,61,2,Go,69
5,36,Average,71,2,Go,69
5,37,Optimist,70,3,Stay,69
5,38,Optimist,65,3,Stay,69
5,39,Optimist,72,3,Stay,69
5,40,Average,60,2,Go,69
5,41,Pessimist,67,3,Go,69
5,42,Optimist,67,3,Stay,69
5,43,Average,62,2,Go,69
5,44,Pessimist,74,3,Go,69
5,45,Pessimist,72,3,Go,69
5,46,Optimist,68,3,Stay,69
5,47,Pessimist,66,3,Go,69
5,48,Average,75,2,Go,69
5,49,Average,73,2,Go,69
5,50,Average,73,2,Go,69
5,51,Pessimist,73,3,Go,69
5,52,Average,72,2,Go,69
5,53,Average,61,2,Go,69
5,54,Pessimist,63,3,Stay,69
5,55,Optimist,70,3,Stay,69
5,56,Optimist,60,3,Go,69
5,57,Optimist,66,3,Stay,69
5,58,Average,61,2,Go,69
5,59,Average,60,2,Go,69
5,60,Average,70,2,Go,69
5,61,Average,72,2,Go,69
5,62,Pessimist,68,3,Go,69
5,63,Optimist,61,3,Go,69
5,64,Average,66,2,Go,69
5,65,Pessimist,71,3,Go,69
5,66,Pessimist,62,3,Stay,69
5,67,Optimist,60,3,Go,69
5,68,Optimist,61,3,Go,69
5,69,Average,66,2,Go,69
5,70,Optimist,71,3,Stay,69
5,71,Average,72,2,Go,69
5,72,Optimist,69,3,Stay,69
5,73,Optimist,74,3,Stay,69
5,74,Average,72,2,Go,69
5,75,Average,70,2,Go,69
5,76,Optimist,62,3,Go,69
5,77,Optimist,63,3,Go,69
5,78,Pessimist,74,3,Go,69
5,79,Average,73,2,Go,69
5,80,Pessimist,60,3,Stay,69
5,81,Average,62,2,Go,69
5,82,Optimist,68,3,Stay,69
5,83,Optimist,60,3,Go,69
5,84,Average,60,2,Go,69
5,85,Average,66,2,Go,69
5,86,Average,71,2,Go,69
5,87,Optimist,75,3,Stay,69
5,88,Optimist,68,3,Stay,69
5,89,Optimist,68,3,Stay,69
5,90,Pessimist,67,3,Go,69
5,91,Pessimist,72,3,Go,69
5,92,Average,72,2,Go,69
5,93,Pessimist,63,3,Stay,69
5,94,Pessimist,63,3,Stay,69
5,95,Average,69,2,Go,69
5,96,Pessimist,71,3,Go,69
5,97,Average,65,2,Go,69
5,98,Average,64,2,Go,69
5,99,Pessimist,62,3,Stay,69
6,0,Average,61,2,Stay,28
6,1,Average,66,2,Stay,28
6,2,Optimist,71,3,Stay,28
6,3,Pessimist,72,3,Go,28
6,4,Pessimist,63,3,Stay,28
6,5,Average,62,2,Stay,28
6,6,Average,61,2,Stay,28
6,7,Optimist,66,3,Stay,28
