Week,Agent_ID,Strategy,Memory_Length,Risk_Tolerance,A_weighted,Decision,Actual_Attendance
2,93,Optimist,4,63,,Go,67
2,94,Pessimist,3,63,,Stay,67
2,95,Pessimist,4,51,,Stay,67
2,96,Average,4,70,,Stay,67
2,97,Optimist,2,62,36.89999999999999,Go,67
2,98,Average,3,75,,Go,67
2,99,Optimist,2,56,36.89999999999999,Go,67
3,0,Average,2,50,64.3,Stay,58
3,1,Average,3,57,43.7,Go,58
3,2,Optimist,2,73,64.3,Go,58
3,3,Optimist,4,73,,Go,58
3,4,Average,2,68,64.3,Go,58
3,5,Pessimist,2,50,64.3,Stay,58
3,6,Optimist,2,57,64.3,Stay,58
3,7,Average,4,50,,Stay,58
3,8,Average,2,72,64.3,Go,58
3,9,Average,4,67,,Stay,58
3,10,Pessimist,2,64,64.3,Stay,58
3,11,Average,3,75,43.7,Go,58
3,12,Optimist,2,72,64.3,Go,58
3,13,Pessimist,3,58,43.7,Stay,58
3,14,Optimist,2,74,64.3,Go,58
3,15,Pessimist,2,52,64.3,Stay,58
3,16,Pessimist,2,61,64.3,Stay,58
3,17,Pessimist,4,58,,Stay,58
3,18,Optimist,4,64,,Go,58
3,19,Average,2,62,64.3,Stay,58
3,20,Optimist,4,59,,Go,58
3,21,Average,4,61,,Go,58
3,22,Average,2,72,64.3,Go,58
3,23,Optimist,2,71,64.3,Go,58
3,24,Optimist,3,52,43.7,Go,58
3,25,Optimist,2,62,64.3,Stay,58
3,26,Pessimist,3,70,43.7,Stay,58
3,27,Pessimist,2,61,64.3,Stay,58
3,28,Pessimist,2,71,64.3,Go,58
3,29,Pessimist,4,71,,Stay,58
3,30,Average,2,69,64.3,Go,58
3,31,Average,2,67,64.3,Go,58
3,32,Average,2,55,64.3,Stay,58
3,33,Pessimist,3,58,43.7,Stay,58
3,34,Average,4,67,,Stay,58
3,35,Optimist,4,60,,Go,58
3,36,Optimist,2,51,64.3,Stay,58
3,37,Pessimist,3,58,43.7,Stay,58
3,38,Optimist,2,68,64.3,Go,58
3,39,Average,3,56,43.7,Go,58
3,40,Average,3,62,43.7,Go,58
3,41,Average,3,54,43.7,Go,58
3,42,Pessimist,2,57,64.3,Stay,58
3,43,Average,4,67,,Stay,58
3,44,Pessimist,4,68,,Stay,58
3,45,Pessimist,4,62,,Stay,58
3,46,Pessimist,2,54,64.3,Stay,58
3,47,Average,3,52,43.7,Go,58
3,48,Optimist,2,54,64.3,Stay,58
3,49,Average,2,75,64.3,Go,58
3,50,Average,3,69,43.7,Go,58
3,51,Optimist,3,62,43.7,Go,58
3,52,Average,3,66,43.7,Go,58
3,53,Pessimist,4,50,,Stay,58
3,54,Average,4,53,,Go,58
3,55,Average,4,74,,Go,58
3,56,Pessimist,4,60,,Stay,58
3,57,Optimist,3,63,43.7,Go,58
3,58,Optimist,3,50,43.7,Go,58
3,59,Average,4,58,,Go,58
3,60,Average,2,66,64.3,Go,58
3,61,Optimist,4,59,,Go,58
3,62,Average,4,69,,Go,58
3,63,Optimist,2,61,64.3,Stay,58
3,64,Optimist,4,74,,Go,58
3,65,Average,2,69,64.3,Go,58
3,66,Pessimist,3,50,43.7,Stay,58
3,67,Optimist,3,75,43.7,Go,58
3,68,Pessimist,2,51,64.3,Stay,58
3,69,Optimist,4,52,,Go,58
3,70,Optimist,4,65,,Go,58
3,71,Optimist,4,74,,Go,58
3,72,Optimist,2,71,64.3,Go,58
3,73,Pessimist,4,55,,Stay,58
3,74,Pessimist,4,69,,Stay,58
3,75,Pessimist,2,67,64.3,Go,58
3,76,Average,4,56,,Go,58
3,77,Average,3,62,43.7,Go,58
3,78,Average,4,61,,Go,58
3,79,Pessimist,4,64,,Stay,58
3,80,Optimist,2,57,64.3,Stay,58
3,81,Optimist,3,50,43.7,Go,58
3,82,Average,4,57,,Stay,58
3,83,Average,2,50,64.3,Stay,58
3,84,Optimist,4,70,,Go,58
3,85,Optimist,2,52,64.3,Stay,58
3,86,Optimist,3,52,43.7,Go,58
3,87,Average,2,58,64.3,Stay,58
3,88,Average,3,56,43.7,Go,58
3,89,Average,2,73,64.3,Go,58
3,90,Average,4,65,,Go,58
3,91,Optimist,3,75,43.7,Go,58
3,92,Pessimist,2,53,64.3,Stay,58
3,93,Optimist,4,63,,Go,58
3,94,Pessimist,3,63,43.7,Stay,58
3,95,Pessimist,4,51,,Stay,58
3,96,Average,4,70,,Stay,58
3,97,Optimist,2,62,64.3,Stay,58
3,98,Average,3,75,43.7,Go,58
3,99,Optimist,2,56,64.3,Stay,58
4,0,Average,2,50,65.5,Stay,83
4,1,Average,3,57,67.5,Stay,83
4,2,Optimist,2,73,65.5,Go,83
4,3,Optimist,4,73,49.6,Go,83
4,4,Average,2,68,65.5,Go,83
4,5,Pessimist,2,50,65.5,Stay,83
4,6,Optimist,2,57,65.5,Stay,83
4,7,Average,4,50,49.6,Go,83
4,8,Average,2,72,65.5,Go,83
4,9,Average,4,67,49.6,Go,83
4,10,Pessimist,2,64,65.5,Stay,83
4,11,Average,3,75,67.5,Go,83
4,12,Optimist,2,72,65.5,Go,83
4,13,Pessimist,3,58,67.5,Stay,83
4,14,Optimist,2,74,65.5,Go,83
4,15,Pessimist,2,52,65.5,Stay,83
4,16,Pessimist,2,61,65.5,Stay,83
4,17,Pessimist,4,58,49.6,Stay,83
4,18,Optimist,4,64,49.6,Go,83
4,19,Average,2,62,65.5,Stay,83
4,20,Optimist,4,59,49.6,Go,83
4,21,Average,4,61,49.6,Go,83
4,22,Average,2,72,65.5,Go,83
4,23,Optimist,2,71,65.5,Go,83
4,24,Optimist,3,52,67.5,Stay,83
4,25,Optimist,2,62,65.5,Stay,83
4,26,Pessimist,3,70,67.5,Stay,83
4,27,Pessimist,2,61,65.5,Stay,83
4,28,Pessimist,2,71,65.5,Stay,83
4,29,Pessimist,4,71,49.6,Stay,83
4,30,Average,2,69,65.5,Go,83
4,31,Average,2,67,65.5,Go,83
4,32,Average,2,55,65.5,Stay,83
4,33,Pessimist,3,58,67.5,Stay,83
4,34,Average,4,67,49.6,Go,83
4,35,Optimist,4,60,49.6,Go,83
4,36,Optimist,2,51,65.5,Stay,83
4,37,Pessimist,3,58,67.5,Stay,83
4,38,Optimist,2,68,65.5,Go,83
4,39,Average,3,56,67.5,Stay,83
4,40,Average,3,62,67.5,Stay,83
4,41,Average,3,54,67.5,Stay,83
4,42,Pessimist,2,57,65.5,Stay,83
4,43,Average,4,67,49.6,Go,83
4,44,Pessimist,4,68,49.6,Stay,83
4,45,Pessimist,4,62,49.6,Stay,83
4,46,Pessimist,2,54,65.5,Stay,83
4,47,Average,3,52,67.5,Stay,83
4,48,Optimist,2,54,65.5,Stay,83
4,49,Average,2,75,65.5,Go,83
4,50,Average,3,69,67.5,Go,83
4,51,Optimist,3,62,67.5,Stay,83
4,52,Average,3,66,67.5,Stay,83
4,53,Pessimist,4,50,49.6,Stay,83
4,54,Average,4,53,49.6,Go,83
4,55,Average,4,74,49.6,Go,83
4,56,Pessimist,4,60,49.6,Stay,83
4,57,Optimist,3,63,67.5,Stay,83
4,58,Optimist,3,50,67.5,Stay,83
4,59,Average,4,58,49.6,Go,83
4,60,Average,2,66,65.5,Go,83
4,61,Optimist,4,59,49.6,Go,83
4,62,Average,4,69,49.6,Go,83
4,63,Optimist,2,61,65.5,Stay,83
4,64,Optimist,4,74,49.6,Go,83
4,65,Average,2,69,65.5,Go,83
4,66,Pessimist,3,50,67.5,Stay,83
4,67,Optimist,3,75,67.5,Go,83
4,68,Pessimist,2,51,65.5,Stay,83
4,69,Optimist,4,52,49.6,Go,83
4,70,Optimist,4,65,49.6,Go,83
4,71,Optimist,4,74,49.6,Go,83
4,72,Optimist,2,71,65.5,Go,83
4,73,Pessimist,4,55,49.6,Stay,83
4,74,Pessimist,4,69,49.6,Stay,83
4,75,Pessimist,2,67,65.5,Stay,83
4,76,Average,4,56,49.6,Go,83
4,77,Average,3,62,67.5,Stay,83
4,78,Average,4,61,49.6,Go,83
4,79,Pessimist,4,64,49.6,Stay,83
4,80,Optimist,2,57,65.5,Stay,83
4,81,Optimist,3,50,67.5,Stay,83
4,82,Average,4,57,49.6,Go,83
4,83,Average,2,50,65.5,Stay,83
4,84,Optimist,4,70,49.6,Go,83
4,85,Optimist,2,52,65.5,Stay,83
4,86,Optimist,3,52,67.5,Stay,83
4,87,Average,2,58,65.5,Stay,83
4,88,Average,3,56,67.5,Stay,83
4,89,Average,2,73,65.5,Go,83
4,90,Average,4,65,49.6,Go,83
4,91,Optimist,3,75,67.5,Go,83
4,92,Pessimist,2,53,65.5,Stay,83
4,93,Optimist,4,63,49.6,Go,83
4,94,Pessimist,3,63,67.5,Stay,83
4,95,Pessimist,4,51,49.6,Stay,83
4,96,Average,4,70,49.6,Go,83
4,97,Optimist,2,62,65.5,Stay,83
4,98,Average,3,75,67.5,Go,83
4,99,Optimist,2,56,65.5,Stay,83
5,0,Average,2,50,78.19999999999999,Stay,67
5,1,Average,3,57,67.3,Stay,67
5,2,Optimist,2,73,78.19999999999999,Stay,67
5,3,Optimist,4,73,67.5,Go,67
5,4,Average,2,68,78.19999999999999,Stay,67
5,5,Pessimist,2,50,78.19999999999999,Stay,67
5,6,Optimist,2,57,78.19999999999999,Stay,67
5,7,Average,4,50,67.5,Stay,67
5,8,Average,2,72,78.19999999999999,Stay,67
5,9,Average,4,67,67.5,Stay,67
5,10,Pessimist,2,64,78.19999999999999,Stay,67
5,11,Average,3,75,67.3,Go,67
5,12,Optimist,2,72,78.19999999999999,Stay,67
5,13,Pessimist,3,58,67.3,Stay,67
5,14,Optimist,2,74,78.19999999999999,Stay,67
5,15,Pessimist,2,52,78.19999999999999,Stay,67
5,16,Pessimist,2,61,78.19999999999999,Stay,67
5,17,Pessimist,4,58,67.5,Stay,67
5,18,Optimist,4,64,67.5,Stay,67
5,19,Average,2,62,78.19999999999999,Stay,67
5,20,Optimist,4,59,67.5,Stay,67
5,21,Average,4,61,67.5,Stay,67
5,22,Average,2,72,78.19999999999999,Stay,67
5,23,Optimist,2,71,78.19999999999999,Stay,67
5,24,Optimist,3,52,67.3,Stay,67
5,25,Optimist,2,62,78.19999999999999,Stay,67
5,26,Pessimist,3,70,67.3,Go,67
5,27,Pessimist,2,61,78.19999999999999,Stay,67
5,28,Pessimist,2,71,78.19999999999999,Stay,67
5,29,Pessimist,4,71,67.5,Go,67
5,30,Average,2,69,78.19999999999999,Stay,67
5,31,Average,2,67,78.19999999999999,Stay,67
5,32,Average,2,55,78.19999999999999,Stay,67
5,33,Pessimist,3,58,67.3,Stay,67
5,34,Average,4,67,67.5,Stay,67
5,35,Optimist,4,60,67.5,Stay,67
5,36,Optimist,2,51,78.19999999999999,Stay,67
5,37,Pessimist,3,58,67.3,Stay,67
5,38,Optimist,2,68,78.19999999999999,Stay,67
5,39,Average,3,56,67.3,Stay,67
5,40,Average,3,62,67.3,Stay,67
5,41,Average,3,54,67.3,Stay,67
5,42,Pessimist,2,57,78.19999999999999,Stay,67
5,43,Average,4,67,67.5,Stay,67
5,44,Pessimist,4,68,67.5,Go,67
5,45,Pessimist,4,62,67.5,Stay,67
5,46,Pessimist,2,54,78.19999999999999,Stay,67
5,47,Average,3,52,67.3,Stay,67
5,48,Optimist,2,54,78.19999999999999,Stay,67
5,49,Average,2,75,78.19999999999999,Stay,67
5,50,Average,3,69,67.3,Go,67
5,51,Optimist,3,62,67.3,Stay,67
5,52,Average,3,66,67.3,Stay,67
5,53,Pessimist,4,50,67.5,Stay,67
5,54,Average,4,53,67.5,Stay,67
5,55,Average,4,74,67.5,Go,67
5,56,Pessimist,4,60,67.5,Stay,67
5,57,Optimist,3,63,67.3,Stay,67
5,58,Optimist,3,50,67.3,Stay,67
5,59,Average,4,58,67.5,Stay,67
5,60,Average,2,66,78.19999999999999,Stay,67
5,61,Optimist,4,59,67.5,Stay,67
5,62,Average,4,69,67.5,Go,67
5,63,Optimist,2,61,78.19999999999999,Stay,67
5,64,Optimist,4,74,67.5,Go,67
5,65,Average,2,69,78.19999999999999,Stay,67
5,66,Pessimist,3,50,67.3,Stay,67
5,67,Optimist,3,75,67.3,Go,67
5,68,Pessimist,2,51,78.19999999999999,Stay,67
5,69,Optimist,4,52,67.5,Stay,67
5,70,Optimist,4,65,67.5,Stay,67
5,71,Optimist,4,74,67.5,Go,67
5,72,Optimist,2,71,78.19999999999999,Stay,67
5,73,Pessimist,4,55,67.5,Stay,67
5,74,Pessimist,4,69,67.5,Go,67
5,75,Pessimist,2,67,78.19999999999999,Stay,67
5,76,Average,4,56,67.5,Stay,67
5,77,Average,3,62,67.3,Stay,67
5,78,Average,4,61,67.5,Stay,67
5,79,Pessimist,4,64,67.5,Stay,67
5,80,Optimist,2,57,78.19999999999999,Stay,67
5,81,Optimist,3,50,67.3,Stay,67
5,82,Average,4,57,67.5,Stay,67
5,83,Average,2,50,78.19999999999999,Stay,67
5,84,Optimist,4,70,67.5,Go,67
5,85,Optimist,2,52,78.19999999999999,Stay,67
5,86,Optimist,3,52,67.3,Stay,67
5,87,Average,2,58,78.19999999999999,Stay,67
5,88,Average,3,56,67.3,Stay,67
5,89,Average,2,73,78.19999999999999,Stay,67
5,90,Average,4,65,67.5,Stay,67
5,91,Optimist,3,75,67.3,Go,67
5,92,Pessimist,2,53,78.19999999999999,Stay,67
5,93,Optimist,4,63,67.5,Stay,67
5,94,Pessimist,3,63,67.3,Stay,67
5,95,Pessimist,4,51,67.5,Stay,67
5,96,Average,4,70,67.5,Go,67
5,97,Optimist,2,62,78.19999999999999,Stay,67
5,98,Average,3,75,67.3,Go,67
5,99,Optimist,2,56,78.19999999999999,Stay,67
6,0,Average,2,50,47.199999999999996,Go,1
6,1,Average,3,57,61.8,Stay,1
6,2,Optimist,2,73,47.199999999999996,Go,1
6,3,Optimist,4,73,61.6,Go,1
6,4,Average,2,68,47.199999999999996,Go,1
6,5,Pessimist,2,50,47.199999999999996,Go,1
6,6,Optimist,2,57,47.199999999999996,Go,1
6,7,Average,4,50,61.6,Stay,1
6,8,Average,2,72,47.199999999999996,Go,1
6,9,Average,4,67,61.6,Go,1
6,10,Pessimist,2,64,47.199999999999996,Go,1
6,11,Average,3,75,61.8,Go,1
6,12,Optimist,2,72,47.199999999999996,Go,1
6,13,Pessimist,3,58,61.8,Stay,1
6,14,Optimist,2,74,47.199999999999996,Go,1
6,15,Pessimist,2,52,47.199999999999996,Go,1
6,16,Pessimist,2,61,47.199999999999996,Go,1
6,17,Pessimist,4,58,61.6,Stay,1
6,18,Optimist,4,64,61.6,Go,1
6,19,Average,2,62,47.199999999999996,Go,1
6,20,Optimist,4,59,61.6,Stay,1
6,21,Average,4,61,61.6,Stay,1
6,22,Average,2,72,47.199999999999996,Go,1
6,23,Optimist,2,71,47.199999999999996,Go,1
6,24,Optimist,3,52,61.8,Stay,1
6,25,Optimist,2,62,47.199999999999996,Go,1
6,26,Pessimist,3,70,61.8,Go,1
6,27,Pessimist,2,61,47.199999999999996,Go,1
6,28,Pessimist,2,71,47.199999999999996,Go,1
6,29,Pessimist,4,71,61.6,Go,1
6,30,Average,2,69,47.199999999999996,Go,1
6,31,Average,2,67,47.199999999999996,Go,1
6,32,Average,2,55,47.199999999999996,Go,1
6,33,Pessimist,3,58,61.8,Stay,1
6,34,Average,4,67,61.6,Go,1
6,35,Optimist,4,60,61.6,Stay,1
6,36,Optimist,2,51,47.199999999999996,Go,1
6,37,Pessimist,3,58,61.8,Stay,1
6,38,Optimist,2,68,47.199999999999996,Go,1
6,39,Average,3,56,61.8,Stay,1
6,40,Average,3,62,61.8,Go,1
6,41,Average,3,54,61.8,Stay,1
6,42,Pessimist,2,57,47.199999999999996,Go,1
6,43,Average,4,67,61.6,Go,1
6,44,Pessimist,4,68,61.6,Go,1
6,45,Pessimist,4,62,61.6,Go,1
6,46,Pessimist,2,54,47.199999999999996,Go,1
6,47,Average,3,52,61.8,Stay,1
6,48,Optimist,2,54,47.199999999999996,Go,1
6,49,Average,2,75,47.199999999999996,Go,1
6,50,Average,3,69,61.8,Go,1
6,51,Optimist,3,62,61.8,Go,1
6,52,Average,3,66,61.8,Go,1
6,53,Pessimist,4,50,61.6,Stay,1
6,54,Average,4,53,61.6,Stay,1
6,55,Average,4,74,61.6,Go,1
6,56,Pessimist,4,60,61.6,Stay,1
6,57,Optimist,3,63,61.8,Go,1
6,58,Optimist,3,50,61.8,Stay,1
6,59,Average,4,58,61.6,Stay,1
6,60,Average,2,66,47.199999999999996,Go,1
6,61,Optimist,4,59,61.6,Stay,1
6,62,Average,4,69,61.6,Go,1
6,63,Optimist,2,61,47.199999999999996,Go,1
6,64,Optimist,4,74,61.6,Go,1
6,65,Average,2,69,47.199999999999996,Go,1
6,66,Pessimist,3,50,61.8,Stay,1
6,67,Optimist,3,75,61.8,Go,1
6,68,Pessimist,2,51,47.199999999999996,Go,1
6,69,Optimist,4,52,61.6,Stay,1
6,70,Optimist,4,65,61.6,Go,1
6,71,Optimist,4,74,61.6,Go,1
6,72,Optimist,2,71,47.199999999999996,Go,1
6,73,Pessimist,4,55,61.6,Stay,1
6,74,Pessimist,4,69,61.6,Go,1
6,75,Pessimist,2,67,47.199999999999996,Go,1
6,76,Average,4,56,61.6,Stay,1
6,77,Average,3,62,61.8,Go,1
6,78,Average,4,61,61.6,Stay,1
6,79,Pessimist,4,64,61.6,Go,1
6,80,Optimist,2,57,47.199999999999996,Go,1
6,81,Optimist,3,50,61.8,Stay,1
6,82,Average,4,57,61.6,Stay,1
6,83,Average,2,50,47.199999999999996,Go,1
6,84,Optimist,4,70,61.6,Go,1
6,85,Optimist,2,52,47.199999999999996,Go,1
6,86,Optimist,3,52,61.8,Stay,1
6,87,Average,2,58,47.199999999999996,Go,1
6,88,Average,3,56,61.8,Stay,1
6,89,Average,2,73,47.199999999999996,Go,1
6,90,Average,4,65,61.6,Go,1
